Title,Year,Genre,Director,Lead_Actor,IMDB_Rating
Vikram,2022,Action,Lokesh Kanagaraj,Kamal Haasan,8.4
Master,2021,Action,Lokesh Kanagaraj,Vijay,7.8
Ponniyin Selvan: I,2022,Historical,Mani Ratnam,Jayam Ravi,7.7
Jailer,2023,Action,Nelson Dilipkumar,Rajinikanth,7.5
Love Today,2022,Romance,Pradeep Ranganathan,Pradeep Ranganathan,8.2
96,2018,Romance,C. Prem Kumar,Vijay Sethupathi,8.5
Soorarai Pottru,2020,Biography,Sudha Kongara,Suriya,8.7
Kaithi,2019,Action,Lokesh Kanagaraj,Karthi,8.5
Asuran,2019,Drama,Vetrimaaran,Dhanush,8.5
Thunivu,2023,Action,H. Vinoth,Ajith Kumar,6.1
Bigil,2019,Sports Drama,Atlee,Vijay,6.8
Mersal,2017,Action,Atlee,Vijay,7.2
Vikram,2022,Action,Lokesh Kanagaraj,Kamal Haasan,8.4
Master,2021,Action,Lokesh Kanagaraj,Vijay,7.8
Ponniyin Selvan: I,2022,Historical,Mani Ratnam,Jayam Ravi,7.7
Jailer,2023,Action,Nelson Dilipkumar,Rajinikanth,7.5
Love Today,2022,Romance,Pradeep Ranganathan,Pradeep Ranganathan,8.2
96,2018,Romance,C. Prem Kumar,Vijay Sethupathi,8.5
Soorarai Pottru,2020,Biography,Sudha Kongara,Suriya,8.7
Kaithi,2019,Action,Lokesh Kanagaraj,Karthi,8.5
Asuran,2019,Drama,Vetrimaaran,Dhanush,8.5
Thunivu,2023,Action,H. Vinoth,Ajith Kumar,6.1
Bigil,2019,Sports Drama,Atlee,Vijay,6.8
Mersal,2017,Action,Atlee,Vijay,7.2
Vikram,2022,Action,Lokesh Kanagaraj,Kamal Haasan,8.4
Master,2021,Action,Lokesh Kanagaraj,Vijay,7.8
Ponniyin Selvan: I,2022,Historical,Mani Ratnam,Jayam Ravi,7.7
Jailer,2023,Action,Nelson Dilipkumar,Rajinikanth,7.5
Love Today,2022,Romance,Pradeep Ranganathan,Pradeep Ranganathan,8.2
96,2018,Romance,C. Prem Kumar,Vijay Sethupathi,8.5
Soorarai Pottru,2020,Biography,Sudha Kongara,Suriya,8.7
Kaithi,2019,Action,Lokesh Kanagaraj,Karthi,8.5
Asuran,2019,Drama,Vetrimaaran,Dhanush,8.5
Thunivu,2023,Action,H. Vinoth,Ajith Kumar,6.1
Bigil,2019,Sports Drama,Atlee,Vijay,6.8
Mersal,2017,Action,Atlee,Vijay,7.2
Vikram,2022,Action,Lokesh Kanagaraj,Kamal Haasan,8.4
Master,2021,Action,Lokesh Kanagaraj,Vijay,7.8
Ponniyin Selvan: I,2022,Historical,Mani Ratnam,Jayam Ravi,7.7
Jailer,2023,Action,Nelson Dilipkumar,Rajinikanth,7.5
Love Today,2022,Romance,Pradeep Ranganathan,Pradeep Ranganathan,8.2
96,2018,Romance,C. Prem Kumar,Vijay Sethupathi,8.5
Soorarai Pottru,2020,Biography,Sudha Kongara,Suriya,8.7
Kaithi,2019,Action,Lokesh Kanagaraj,Karthi,8.5
Asuran,2019,Drama,Vetrimaaran,Dhanush,8.5
Thunivu,2023,Action,H. Vinoth,Ajith Kumar,6.1
Bigil,2019,Sports Drama,Atlee,Vijay,6.8
Mersal,2017,Action,Atlee,Vijay,7.2
Vikram,2022,Action,Lokesh Kanagaraj,Kamal Haasan,8.4
Master,2021,Action,Lokesh Kanagaraj,Vijay,7.8
Ponniyin Selvan: I,2022,Historical,Mani Ratnam,Jayam Ravi,7.7
Jailer,2023,Action,Nelson Dilipkumar,Rajinikanth,7.5
Love Today,2022,Romance,Pradeep Ranganathan,Pradeep Ranganathan,8.2
96,2018,Romance,C. Prem Kumar,Vijay Sethupathi,8.5
Soorarai Pottru,2020,Biography,Sudha Kongara,Suriya,8.7
Kaithi,2019,Action,Lokesh Kanagaraj,Karthi,8.5
Asuran,2019,Drama,Vetrimaaran,Dhanush,8.5
Thunivu,2023,Action,H. Vinoth,Ajith Kumar,6.1
Bigil,2019,Sports Drama,Atlee,Vijay,6.8
Mersal,2017,Action,Atlee,Vijay,7.2
Vikram,2022,Action,Lokesh Kanagaraj,Kamal Haasan,8.4
Master,2021,Action,Lokesh Kanagaraj,Vijay,7.8
Ponniyin Selvan: I,2022,Historical,Mani Ratnam,Jayam Ravi,7.7
Jailer,2023,Action,Nelson Dilipkumar,Rajinikanth,7.5
Love Today,2022,Romance,Pradeep Ranganathan,Pradeep Ranganathan,8.2
96,2018,Romance,C. Prem Kumar,Vijay Sethupathi,8.5
Soorarai Pottru,2020,Biography,Sudha Kongara,Suriya,8.7
Kaithi,2019,Action,Lokesh Kanagaraj,Karthi,8.5
Asuran,2019,Drama,Vetrimaaran,Dhanush,8.5
Thunivu,2023,Action,H. Vinoth,Ajith Kumar,6.1
Bigil,2019,Sports Drama,Atlee,Vijay,6.8
Mersal,2017,Action,Atlee,Vijay,7.2
Vikram,2022,Action,Lokesh Kanagaraj,Kamal Haasan,8.4
Master,2021,Action,Lokesh Kanagaraj,Vijay,7.8
Ponniyin Selvan: I,2022,Historical,Mani Ratnam,Jayam Ravi,7.7
Jailer,2023,Action,Nelson Dilipkumar,Rajinikanth,7.5
